,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TrueSalary,YrsExperience,Height,Weight,RoundedPosition
77,2007,Marcus Camby,C,32,DEN,70,70,2369,19.1,0.519,0.003,0.335,7.9,30.5,19.4,14.1,1.8,7.0,13.9,15.9,,2.5,5.1,7.6,0.155,,-1.3,6.7,5.3,4.4,312,659,0.473,0,2,0.0,312,657,0.475,0.473,161,221,0.7290000000000001,164,652,816,223,87,231,122,183,785,19300000,10.0,83.0,220.0,5.0
696,2008,Kevin Garnett,PF,31,BOS,71,71,2328,25.3,0.588,0.011000000000000001,0.33899999999999997,7.3,25.1,16.8,19.9,2.3,3.1,10.8,25.5,,6.6,6.2,12.9,0.265,,2.7,4.7,7.4,5.5,534,990,0.539,0,11,0.0,534,979,0.545,0.539,269,336,0.8009999999999999,135,520,655,244,100,89,138,163,1337,24200000,12.0,83.0,220.0,4.0
1360,2009,Dwight Howard,C,23,ORL,79,79,2821,25.4,0.6,0.002,0.867,13.8,29.5,21.8,7.3,1.4,5.9,15.1,26.1,,6.2,7.6,13.8,0.23399999999999999,,0.1,4.3,4.4,4.6,560,979,0.5720000000000001,0,2,0.0,560,977,0.573,0.5720000000000001,504,849,0.594,336,757,1093,112,77,231,240,270,1624,19800000,4.0,83.0,240.0,5.0
1938,2010,Dwight Howard,C,24,ORL,82,82,2843,24.0,0.63,0.008,0.978,12.0,31.3,22.0,8.7,1.4,6.0,18.7,23.9,,6.1,7.1,13.2,0.223,,0.4,5.0,5.5,5.4,510,834,0.612,0,7,0.0,510,827,0.617,0.612,483,816,0.5920000000000001,284,798,1082,144,75,228,274,287,1503,21900000,5.0,83.0,240.0,5.0
2565,2011,Dwight Howard,C,25,ORL,78,78,2935,26.1,0.616,0.006999999999999999,0.877,12.6,30.6,21.8,6.8,1.9,4.9,16.2,27.2,,6.7,7.7,14.4,0.235,,0.9,3.9,4.8,5.0,619,1044,0.593,0,7,0.0,619,1037,0.597,0.593,546,916,0.596,309,789,1098,107,107,186,279,258,1784,20900000,6.0,83.0,240.0,5.0
2987,2012,Tyson Chandler,C,29,NYK,62,62,2061,18.7,0.708,0.006,0.887,11.8,22.7,17.2,4.3,1.4,3.4,17.1,13.0,,5.8,3.6,9.5,0.22,,1.4,2.8,4.1,3.2,241,355,0.679,0,2,0.0,241,353,0.6829999999999999,0.679,217,315,0.6890000000000001,212,400,612,56,56,89,102,186,699,17100000,10.0,85.0,235.0,5.0
3623,2013,Marc Gasol,C,28,MEM,80,80,2796,19.5,0.5589999999999999,0.016,0.364,7.6,18.9,13.1,19.1,1.6,4.1,13.5,19.2,,6.1,5.4,11.5,0.19699999999999998,,1.7,4.4,6.1,5.7,429,869,0.494,1,14,0.071,428,855,0.501,0.494,268,316,0.848,184,438,622,318,80,139,157,255,1127,22100000,4.0,85.0,265.0,5.0
4442,2014,Joakim Noah,C,28,CHI,80,80,2820,20.0,0.531,0.003,0.419,11.6,24.5,18.2,26.4,1.9,3.3,17.0,18.7,,4.5,6.6,11.2,0.19,,1.1,5.5,6.6,6.1,380,800,0.475,0,2,0.0,380,798,0.47600000000000003,0.475,247,335,0.737,282,618,900,431,99,121,194,245,1007,22400000,6.0,83.0,232.0,4.0
4978,2015,Kawhi Leonard,SF,23,SAS,64,64,2033,22.0,0.5670000000000001,0.23399999999999999,0.307,4.8,20.6,12.9,13.0,3.7,1.8,9.4,23.0,,4.2,4.4,8.6,0.204,,2.6,3.5,6.1,4.1,394,822,0.479,67,192,0.349,327,630,0.519,0.52,202,252,0.802,85,376,461,161,148,48,97,128,1057,21600000,3.0,79.0,230.0,3.0
5604,2016,Kawhi Leonard,SF,24,SAS,72,72,2380,26.0,0.616,0.267,0.306,4.7,18.4,11.8,13.0,2.8,2.3,7.8,25.8,,8.3,5.5,13.7,0.27699999999999997,,5.5,2.8,8.3,6.2,551,1090,0.506,129,291,0.44299999999999995,422,799,0.528,0.565,292,334,0.8740000000000001,95,398,493,186,128,71,105,133,1523,11300000,4.0,79.0,230.0,3.0
