,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TrueSalary,YrsExperience,Height,Weight,RoundedPosition
343,2007,Dirk Nowitzki,PF,28,DAL,78,78,2820,27.6,0.605,0.129,0.41100000000000003,5.3,23.9,14.8,17.8,1.0,1.7,9.5,28.9,,11.8,4.5,16.3,0.278,,5.4,1.3,6.7,6.2,673,1341,0.502,72,173,0.41600000000000004,601,1168,0.515,0.529,498,551,0.904,122,571,693,263,52,62,167,171,1916,24100000,8.0,84.0,237.0,5.0
598,2008,Kobe Bryant,SG,29,LAL,82,82,3192,24.2,0.5760000000000001,0.24600000000000002,0.439,3.4,14.1,9.0,23.9,2.4,0.9,11.3,31.4,,9.5,4.3,13.8,0.20800000000000002,,5.1,0.3,5.4,6.0,775,1690,0.45899999999999996,150,415,0.361,625,1275,0.49,0.503,623,742,0.84,94,423,517,441,151,40,257,227,2323,22300000,11.0,78.0,200.0,2.0
1383,2009,LeBron James,SF,24,CLE,81,81,3054,31.7,0.591,0.23800000000000002,0.47200000000000003,4.3,19.0,11.9,38.0,2.4,2.4,11.0,33.8,,13.7,6.5,20.3,0.318,,9.4,3.6,13.0,11.6,789,1613,0.489,132,384,0.344,657,1229,0.535,0.53,594,762,0.78,106,507,613,587,137,93,241,139,2304,36700000,5.0,80.0,240.0,3.0
1978,2010,LeBron James,SF,25,CLE,76,76,2966,31.1,0.604,0.253,0.506,3.0,18.5,11.1,41.8,2.2,2.0,12.3,33.5,,13.3,5.2,18.5,0.299,,9.7,2.8,12.5,10.9,768,1528,0.503,129,387,0.33299999999999996,639,1141,0.56,0.545,593,773,0.767,71,483,554,651,125,77,261,119,2258,36000000,6.0,80.0,240.0,3.0
2761,2011,Derrick Rose,PG,22,CHI,81,81,3026,23.5,0.55,0.24100000000000002,0.348,3.2,9.4,6.4,38.7,1.5,1.3,13.1,32.2,,8.3,4.8,13.1,0.20800000000000002,,5.8,0.1,5.9,6.0,711,1597,0.445,128,385,0.332,583,1212,0.48100000000000004,0.485,476,555,0.858,81,249,330,623,85,51,278,136,2026,23300000,2.0,75.0,190.0,1.0
3164,2012,LeBron James,SF,27,MIA,62,62,2326,30.7,0.605,0.127,0.429,5.0,19.7,12.6,33.6,2.6,1.7,13.3,32.0,,10.0,4.5,14.5,0.298,,8.3,2.7,11.0,7.6,621,1169,0.531,54,149,0.36200000000000004,567,1020,0.556,0.5539999999999999,387,502,0.7709999999999999,94,398,492,387,115,50,213,96,1683,31200000,8.0,80.0,240.0,3.0
3701,2013,LeBron James,PF,28,MIA,76,76,2877,31.6,0.64,0.188,0.395,4.4,20.8,13.1,36.4,2.4,1.9,12.4,30.2,,14.6,4.7,19.3,0.322,,9.2,2.4,11.6,9.8,765,1354,0.565,103,254,0.406,662,1100,0.602,0.603,403,535,0.753,97,513,610,551,129,67,226,110,2036,33600000,9.0,80.0,240.0,3.0
4205,2014,Kevin Durant,SF,25,OKC,81,81,3122,29.8,0.635,0.29100000000000004,0.47700000000000004,2.2,18.6,10.8,26.7,1.7,1.5,12.2,33.0,,14.8,4.4,19.2,0.295,,8.4,0.4,8.8,8.5,849,1688,0.503,192,491,0.391,657,1197,0.5489999999999999,0.56,703,805,0.873,58,540,598,445,103,59,285,174,2593,28800000,6.0,81.0,240.0,3.0
4766,2015,Stephen Curry,PG,26,GSW,80,80,2613,28.0,0.638,0.48200000000000004,0.251,2.4,11.4,7.0,38.6,3.0,0.5,14.3,28.9,,11.5,4.1,15.7,0.28800000000000003,,9.6,0.3,9.9,7.9,653,1341,0.48700000000000004,286,646,0.44299999999999995,367,695,0.528,0.594,308,337,0.914,56,285,341,619,163,16,249,158,1900,29900000,5.0,75.0,185.0,1.0
5398,2016,Stephen Curry,PG,27,GSW,79,79,2700,31.5,0.669,0.5539999999999999,0.25,2.9,13.6,8.6,33.7,3.0,0.4,12.9,32.6,,13.8,4.1,17.9,0.318,,12.4,0.1,12.5,9.8,805,1598,0.504,402,886,0.45399999999999996,403,712,0.5660000000000001,0.63,363,400,0.9079999999999999,68,362,430,527,169,15,262,161,2375,25300000,6.0,75.0,185.0,1.0
