,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TrueSalary,YrsExperience,Height,Weight,RoundedPosition
413,2007,Brandon Roy,SG,22,POR,57,55,2015,18.0,0.5479999999999999,0.191,0.315,3.5,12.1,7.7,20.9,1.8,0.4,11.8,23.0,,3.8,1.0,4.8,0.114,,2.8,-0.7,2.1,2.1,349,765,0.456,55,146,0.377,294,619,0.475,0.49200000000000005,202,241,0.838,58,192,250,230,67,10,116,139,955,12600000,0.0,78.0,215.0,2.0
667,2008,Kevin Durant,SG,19,SEA,80,80,2768,15.8,0.519,0.15,0.32799999999999996,2.8,10.9,6.9,12.0,1.4,1.9,12.9,28.1,,0.4,1.9,2.3,0.04,,-0.6,-0.7,-1.4,0.4,587,1366,0.43,59,205,0.28800000000000003,528,1161,0.455,0.451,391,448,0.873,70,278,348,192,78,75,232,122,1624,3500000,0.0,81.0,240.0,3.0
1565,2009,Derrick Rose,PG,20,CHI,81,80,3000,16.0,0.516,0.06,0.207,3.7,8.4,6.1,28.8,1.1,0.4,13.3,22.6,,3.4,1.5,4.9,0.078,,0.9,-1.5,-0.6,1.1,574,1208,0.475,16,72,0.222,558,1136,0.491,0.48200000000000004,197,250,0.7879999999999999,96,221,317,512,66,18,202,125,1361,7900000,0.0,75.0,190.0,1.0
1850,2010,Tyreke Evans,SG,20,SAC,72,72,2677,18.2,0.529,0.121,0.39899999999999997,2.8,13.6,8.1,26.1,2.1,0.7,13.6,26.2,,3.3,2.1,5.4,0.09699999999999999,,1.6,0.0,1.6,2.5,533,1165,0.45799999999999996,36,141,0.255,497,1024,0.485,0.473,348,465,0.748,66,314,380,414,109,26,216,204,1450,12700000,0.0,78.0,220.0,2.0
2529,2011,Blake Griffin,PF,21,LAC,82,82,3112,21.9,0.5489999999999999,0.017,0.505,10.2,26.9,18.6,18.7,1.0,1.1,11.7,27.3,,6.5,3.4,9.8,0.152,,2.2,0.9,3.2,4.0,696,1376,0.506,7,24,0.292,689,1352,0.51,0.508,446,695,0.642,270,719,989,312,63,45,223,252,1845,16200000,0.0,82.0,251.0,4.0
3156,2012,Kyrie Irving,PG,19,CLE,51,51,1558,21.4,0.5660000000000001,0.245,0.262,3.1,11.2,7.0,36.5,1.8,1.0,16.1,28.7,,3.4,0.6,4.1,0.125,,4.9,-1.7,3.3,2.1,350,747,0.469,73,183,0.39899999999999997,277,564,0.491,0.517,171,196,0.872,44,147,191,275,54,20,160,110,944,11400000,0.0,75.0,193.0,1.0
3763,2013,Damian Lillard,PG,22,POR,82,82,3167,16.4,0.546,0.391,0.249,1.5,8.0,4.7,28.8,1.2,0.5,14.5,24.2,,5.1,0.7,5.8,0.08800000000000001,,2.7,-2.4,0.3,1.9,553,1288,0.429,185,503,0.368,368,785,0.469,0.501,271,321,0.8440000000000001,42,215,257,531,74,19,243,172,1562,10100000,0.0,75.0,195.0,1.0
4136,2014,Michael Carter-Williams,PG,22,PHI,70,70,2414,15.5,0.48,0.19699999999999998,0.348,4.3,15.6,9.8,30.2,2.6,1.4,16.9,25.7,,-0.8,2.1,1.3,0.026000000000000002,,-0.6,0.4,-0.2,1.1,427,1054,0.405,55,208,0.264,372,846,0.44,0.431,258,367,0.703,101,336,437,441,130,43,247,213,1167,4900000,0.0,78.0,185.0,2.0
5249,2015,Andrew Wiggins,SF,19,MIN,82,82,2969,13.9,0.517,0.111,0.41,5.0,9.5,7.2,9.8,1.5,1.3,11.7,22.6,,2.1,0.0,2.1,0.034,,-0.5,-1.8,-2.3,-0.2,497,1137,0.43700000000000006,39,126,0.31,458,1011,0.45299999999999996,0.45399999999999996,354,466,0.76,134,240,374,170,86,50,177,190,1387,2700000,0.0,80.0,199.0,3.0
5805,2016,Karl-Anthony Towns,C,20,MIN,82,82,2627,22.5,0.59,0.076,0.239,10.2,27.5,19.0,11.3,1.1,4.3,12.6,24.9,,5.4,2.8,8.3,0.151,,1.6,1.2,2.8,3.1,625,1153,0.542,30,88,0.341,595,1065,0.5589999999999999,0.555,223,275,0.8109999999999999,229,629,858,161,58,138,183,245,1503,5900000,0.0,84.0,244.0,5.0
