,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TrueSalary,YrsExperience,Height,Weight,RoundedPosition
25,2007,Leandro Barbosa,SG,24,PHO,80,18,2613,18.4,0.595,0.39399999999999996,0.209,1.0,8.1,4.8,18.7,1.8,0.4,10.7,23.4,,6.1,2.1,8.2,0.151,,3.8,-0.9,2.9,3.2,529,1111,0.47600000000000003,190,438,0.434,339,673,0.504,0.562,196,232,0.845,22,192,214,317,96,15,146,210,1444,16000000,3.0,75.0,176.0,1.0
708,2008,Manu Ginobili,SG,30,SAS,74,23,2299,24.3,0.612,0.395,0.449,3.3,14.7,9.1,26.4,2.6,1.1,14.5,28.7,,6.6,4.5,11.1,0.23199999999999998,,6.1,1.9,8.1,5.9,453,984,0.46,156,389,0.401,297,595,0.499,0.54,380,442,0.86,63,291,354,332,109,33,200,173,1442,23900000,5.0,78.0,210.0,2.0
1626,2009,Jason Terry,SG,31,DAL,74,11,2491,19.3,0.5710000000000001,0.39,0.193,1.8,6.3,4.1,17.6,2.0,0.6,8.6,25.5,,5.4,1.9,7.3,0.14,,4.3,-1.8,2.5,2.8,541,1168,0.46299999999999997,167,456,0.366,374,712,0.525,0.535,198,225,0.88,39,138,177,251,97,20,119,141,1447,14400000,9.0,74.0,176.0,1.0
1809,2010,Jamal Crawford,SG,29,ATL,79,0,2460,18.4,0.573,0.386,0.285,1.6,8.0,4.8,16.1,1.3,0.4,9.9,25.8,,5.6,1.7,7.3,0.14300000000000002,,3.5,-2.7,0.8,1.8,496,1105,0.449,163,427,0.382,333,678,0.491,0.523,270,315,0.857,34,167,201,238,61,12,137,132,1425,10700000,9.0,77.0,200.0,2.0
2703,2011,Lamar Odom,PF,31,LAL,82,35,2639,19.4,0.589,0.19899999999999998,0.275,7.8,22.2,15.2,15.5,0.9,1.8,12.2,19.7,,6.1,4.0,10.1,0.184,,2.3,1.4,3.7,3.8,473,893,0.53,68,178,0.382,405,715,0.5660000000000001,0.568,166,246,0.675,175,535,710,249,47,61,139,200,1180,17500000,11.0,82.0,220.0,4.0
3107,2012,James Harden,SG,22,OKC,62,2,1946,21.1,0.66,0.46399999999999997,0.5870000000000001,1.9,12.2,7.4,19.3,1.6,0.6,14.8,21.6,,7.5,1.8,9.3,0.23,,5.6,-1.1,4.5,3.2,309,629,0.491,114,292,0.39,195,337,0.579,0.5820000000000001,312,369,0.846,30,222,252,229,62,15,137,150,1044,18000000,2.0,77.0,220.0,2.0
3920,2013,J.R. Smith,SG,27,NYK,80,0,2678,17.6,0.522,0.349,0.249,2.7,16.3,9.3,14.5,2.0,0.8,8.8,26.5,,4.0,2.7,6.7,0.12,,1.8,-0.5,1.3,2.2,527,1249,0.42200000000000004,155,436,0.35600000000000004,372,813,0.45799999999999996,0.484,237,311,0.762,64,361,425,218,100,24,134,226,1446,12800000,8.0,78.0,220.0,3.0
4157,2014,Jamal Crawford,SG,33,LAC,69,24,2094,17.3,0.556,0.441,0.318,1.9,6.4,4.2,17.4,1.4,0.4,10.5,27.2,,3.8,1.5,5.3,0.122,,2.7,-2.6,0.2,1.2,421,1011,0.41600000000000004,161,446,0.361,260,565,0.46,0.496,279,322,0.866,34,124,158,223,59,12,135,120,1282,9300000,13.0,77.0,200.0,2.0
5256,2015,Lou Williams,SG,28,TOR,80,0,2016,19.9,0.564,0.48200000000000004,0.426,1.4,7.3,4.3,13.6,2.3,0.4,8.4,27.0,,5.4,1.1,6.6,0.157,,4.0,-3.1,0.9,1.5,375,928,0.40399999999999997,152,447,0.34,223,481,0.46399999999999997,0.486,340,395,0.861,24,127,151,164,88,10,101,103,1242,7700000,9.0,73.0,175.0,1.0
5391,2016,Jamal Crawford,SG,35,LAC,79,5,2126,14.0,0.529,0.366,0.289,1.0,6.3,3.7,14.0,1.2,0.4,9.6,24.9,,1.8,1.5,3.3,0.076,,-0.2,-2.4,-2.6,-0.3,379,939,0.40399999999999997,117,344,0.34,262,595,0.44,0.466,245,271,0.904,20,125,145,183,52,12,113,122,1120,700000,15.0,77.0,195.0,2.0
