City,Cloudiness (%),Humidity (%),Latitude,Max Temperature (F),Wind Speed (mph)
Kapaa,20,54,22.08,78.8,19.46
Hithadhoo,24,100,-0.6,80.76,2.59
Arraial do Cabo,64,94,-22.97,75.67,10.09
Makakilo City,40,69,21.35,78.8,9.17
Quang Ngai,8,60,15.12,79.27,3.15
Hualmay,92,89,-11.1,68.52,3.6
Tuktoyaktuk,40,75,69.44,-4.01,10.29
Hirado,75,87,33.32,44.6,10.29
Hilo,90,94,19.71,71.6,10.29
Ushuaia,20,76,-54.81,53.6,6.93
Busselton,32,72,-33.64,80.08,10.31
Kaitangata,88,41,-46.28,75.72,13.67
Butaritari,76,100,3.07,81.34,15.68
Cabo San Lucas,75,47,22.89,75.2,5.82
Chimbote,76,91,-9.08,68.52,5.17
Jamestown,80,100,-15.94,72.52,11.77
Laela,8,76,-8.57,63.39,6.96
Tasiilaq,88,55,65.61,33.8,17.22
Hambantota,8,100,6.12,79.99,13.44
Puerto Ayora,92,100,-0.74,74.46,4.27
Naze,40,77,28.37,69.8,4.7
Atuona,24,100,-9.8,80.85,16.35
Waipawa,0,45,-39.94,81.66,3.38
Yellowknife,90,76,62.45,-11.21,5.82
Qaanaaq,0,78,77.48,-4.97,8.41
Loa Janan,12,65,-0.58,88.36,2.71
Mitchell,90,85,43.71,12.2,21.92
Solnechnyy,32,77,50.72,4.44,3.15
Punta Arenas,40,71,-53.16,51.8,4.7
Ribeira Grande,12,100,38.52,57.58,12.44
Rikitea,80,100,-23.12,78.73,11.32
Diffa,0,35,13.32,69.6,11.21
Amahai,32,100,-3.31,83.64,2.37
Upernavik,44,100,72.79,-10.69,7.74
Praya,40,74,-8.71,84.2,9.17
Iranshahr,0,51,27.21,60.8,3.27
Nabire,44,80,-3.36,80.04,2.59
Bambous Virieux,40,94,-20.34,77.0,3.36
Leningradskiy,12,79,69.38,8.85,8.41
Yarada,32,100,17.65,77.07,7.07
Surin,0,46,14.88,89.89,4.61
Bontang,12,94,0.12,83.68,3.94
Boa Vista,75,58,2.82,86.0,6.93
Longyearbyen,0,78,78.22,8.6,6.93
Berlevag,0,100,70.86,7.54,3.83
Baturaja,36,94,-4.12,80.53,4.72
Skjervoy,32,100,70.03,25.95,7.4
Tiksi,68,83,71.64,-13.52,4.72
Saskylakh,64,67,71.97,-14.74,2.93
Norman Wells,75,75,65.28,-18.41,7.63
Pevek,8,69,69.7,-1.46,0.81
Faanui,92,100,-16.48,81.66,15.68
Nemuro,75,45,43.32,26.6,10.29
Nikolskoye,75,92,59.7,17.6,6.71
Zhaotong,0,60,27.34,51.69,3.27
Biltine,0,66,14.53,68.56,7.18
Korla,92,88,41.76,25.09,3.38
Haines Junction,76,73,60.75,14.74,4.72
Fortuna,1,75,40.6,50.0,10.29
Praia,0,53,14.92,73.4,13.87
Georgetown,92,100,-7.93,77.25,14.12
Albany,68,47,-35.02,79.63,15.46
Mezocsat,68,84,47.82,25.36,4.38
Sangar,0,40,63.92,-26.39,2.59
Sitka,64,36,37.17,54.75,19.04
Avarua,90,88,-21.21,77.0,10.29
Grand Gaube,40,94,-20.01,77.0,3.36
The Valley,20,69,18.22,77.0,14.99
Nome,90,100,30.04,69.8,10.29
Phalodi,0,69,27.13,55.92,2.59
Mount Gambier,0,47,-37.83,72.16,6.4
Port Alfred,0,97,-33.59,64.29,3.15
Porosozero,64,75,62.72,11.86,3.27
Clyde River,75,65,70.47,-36.41,8.05
Lebu,88,96,-37.62,57.09,10.65
Saint-Philippe,0,73,-21.36,77.0,9.17
Shaowu,88,98,27.34,57.94,2.48
Iralaya,88,75,15.0,80.26,12.21
Saint-Pierre,56,100,46.77,29.46,10.98
Porto Novo,75,93,17.02,64.4,10.29
Castro,24,96,-42.48,58.12,4.5
Narsaq,0,60,60.91,8.6,2.24
Cape Town,40,77,-33.93,66.2,13.87
Maniitsoq,32,84,65.42,-3.04,4.83
Hermanus,92,95,-34.42,60.96,2.71
Muisne,100,96,0.61,72.3,2.82
Mujiayingzi,0,42,42.12,16.63,9.19
Port Lincoln,64,84,-34.72,68.92,5.73
San Patricio,20,65,19.22,80.6,9.17
Falmouth,20,81,50.16,42.8,6.93
Ambon,20,62,-3.7,89.6,9.17
Carnarvon,48,83,-24.87,81.75,20.6
